ID,Event,Country,Latitude,Longitude,USGS Event ID,Year,Month,Day,Time of Day (Universal Time Code),Mw,Earthquake Information Source,Fault Type,Depth (km),Ms,Ms Source,Other Magnitude,Other Magnitude Type,Other Magnitude Source,USGS ShakeMap Availability,Inventory,Inventory Source,Total Fatalities,Total Fatalities Source,Total Injuries,Total Injuries Source,Landslide Fatalities,Landslide Fatalities Source,Missing People (Landslide),Missing People Source,Area Affected (km^2),Area Affected Source,Number of Landslides (Primary),Number of Landslides (Primary) Source,Number of Landslides (Secondary),Number of Landslides (Secondary) Source,Number of Landslides (Additional Values and Sources),mLS (Primary),Rodriguez #LS,Keefer # LS,Area of Landslides (km^2),Area of Landslides Source,Volume of Landslides (km^3),Volume of Landslides Source,Max Epicentral Distance (km),Max Distance from Fault-Rupture Zone to Landslides (km),Max Epicentral Distance and Distance from Fault-Rupture Zone Source,Notes
1,"Barva, Costa Rica",Costa Rica,10.12,-84.2,,1772,2,15,,6,"Peraldo and Montero, 1994, Montero, 1999, Bommer and Rodriguez, 2002, Climent et al., 2009 ",,10,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"New Madrid, USA",United States of America,36.59,-89.53,,1811,12,16,8:15,7.6,"CEUS, 2012",Thrust/Reverse,,8.3,"Keefer, 1984", ,,,N,N,,1,UTSU,,,,,,,,,220,"Xu, 2014",,,,2.342422681, ,2101-21010, ,,,,,,,
3,"New Madrid, USA",United States of America,36.59,-89.53,,1812,2,7,9:45,7.8,"CEUS, 2012",Thrust/Reverse,,7.5,"Keefer, 1984",,,,N,N,,,,,,,,,,40000,"Keefer, 1984",,,,,,,,,,,,,,,,
4,"Marlborough, New Zealand",New Zealand,-41.48,173.42 ,,1848,10,15,14:10,7.5,"Musson, 2012",Strike Slip,12,,,,,,N,N,,3,TEARRA,,,,,,,1500,"Honcox et al., 2002",,,,,,,,,,,,,,,"Honcox et al., 2002",
5,"Wairarapa, New Zealand",New Zealand,-41.2,175.20 ,,1855,1,23,9:32,8.2,"Musson, 2012",,33,,,,,,N,N,,9,TEARRA,5,"Dowrick, 2005",,,,,19000,"Honcox et al., 2002",,,,,,,,,,,,,,,,
6,"Charleston, South Carolina",United States of America,32.9 ,-80,ushis251,1886,9,1,2:51,6.9,"CEUS, 2012",,,6.8,"Keefer, 1984", ,,,N,N,,60,"Stover and Coffman, 1993",,,,,,,35000,"Keefer, 1984",,,,,,,,30-3000,,,,,,,,
7,"North Canterbury, New Zealand",New Zealand,-42.36,172.24 ,,1888,9,1,16:45,7,"Musson, 2012",,15,,,,,,N,N,,0,TEARRA,,,0,,,,1800,"Honcox et al., 2002",,,,,,,,,,,,,,,,
8,"Fraijanes, Costa Rica",Costa Rica,10.15,-84.18,,1888,12,30,,6,"Alvarado et al., 1988, Bommer and Rodriguez, 2002, Climent et al., 2009",,15,,,,,,N,N,,,,,,5,"Alvarado et al., 1988, Bommer and Rodriguez, 2002, Climent et al., 2009",,,,,,,,,,,,,,,,,,,,
9,"Cheviot, New Zealand",New Zealand,-42.48,-173.15,,1901,11,16,20:15,6.8,ISC_EC,Strike-slip,33,,,,,,N,N,,1,"Dowrick and Rhoades, 1998",,,,,,,490,"Honcox et al., 2002",,,,,,,,,,,,,,,"Honcox et al., 2002",
10,"Cape Turnagain, New Zealand",New Zealand,-40.4,176.65 ,,1904,8,9,22:49,6.9,ISC_EC,Strike-slip,16,,,,,,N,N,,1,"Downes et al., 2006",,,,,,,2700,"Honcox et al., 2002",,,,,,,,,,,,,,,"Honcox et al., 2002",
11,"San Francisco, California",United States of America,38.056 ,-122.4,official19060418131226300_12,1906,4,18,13:12:27,7.7,PAGER-CAT,Strike-slip,10,8.25-8.3,"Keefer, 1984", ,,,N,N,,2000,EMDAT,,,,,,,32000,"Keefer, 1984", ,,,,,,,3802->73210, ,,,,380,102,"Keefer, 1984",
12,"Karatag, Tajikistan",Tajikistan,39.18,70.59,iscgem16957975,1907,10,21,4:23:43,7.4,PAGER-CAT,-,20,,,,,,N,N,,12000-15000,UTSU/Wikipedia,,,4900,"Daniell et al., 2017",,,,,,,,,,,,,,,,,,,,
13,"Sicily, Italy",Italy,38,15.35,iscgem16958009,1908,12,28,4:20:26,7,PAGER-CAT,Normal,15,,,,,,Y,Y,CEDIT Italian Database,72000,PAGER-CAT,,,,,,,,,,,,,,,,,,,,,,,,
14,"Bajos del Toro, Costa Rica",Costa Rica,10.2,-84.3,,1911,8,29,,6,"Alvarado et al., 1988, Peraldo and Montero, 1999, Bommer and Rodriguez, 2002, Climent et al., 2009",,10,,,,,,N,N,,,,,,3,"Alvarado et al., 1988, Peraldo and Montero, 1999, Bommer and Rodriguez, 2002, Climent et al., 2009",,,,,,,,,,,,,,,,,,,,
15,"Guatuso, Costa Rica",Costa Rica,10.6,-84.92,,1911,10,10,,6.5,"Peraldo and Montero, 1999, Bommer and Rodriguez, 2002",,10,,,,,,N,N,,,,,,6,"Peraldo and Montero, 1999, Bommer and Rodriguez, 2002",,,,,,,,,,,,,,,,,,,,
16,"Sarchi, Costa Rica",Costa Rica,10.17,-84.28,,1912,6,12,,5.5,"Alvarado et al., 1988, Peraldo and Montero, 1999, Bommer and Rodriguez, 2002, Climent et al., 2009",,18,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"East Cape, New Zealand",New Zealand,-37.64,178.47,,1914,,,19:15:48,6.5,ISC_EC,Strike-slip,12,,,,,,N,N,,1,"Dowrick and Rhoades, 1998",0,"Dowrick and Rhoades, 1998",,,,,950,"Honcox et al., 2002",,,,,,,,,,,,,,,"Honcox et al., 2002",
18,Central Italy,Italy,42.03,13.58,iscgem913880,1915,1,13,6:52:42,6.7,ISC_EC,Normal,15,7,"Galadini and Galli, 1999",,,,N,Y,CEDIT Italian Database,32000,PAGER-CAT,,,,,,,,,,,,,,,,,,,,,,,,
19,"Papagayo, Costa Rica",Costa Rica,10.7,-85.99,,1916,2,27,,7.3,"Peraldo and Montero, 1999, Bommer and Rodriguez, 2002",,50,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Veracruz, Mexico",Mexico,19.26 ,-96.23,,1920,1,3,21:48:03,7.8,NOAA: NCEI ,,,,,,,,N,N,,648,NOAA: NCEI,167,NOAA: NCEI,1500,"Suter et al., 1996", ,,,,,,,,,,,,,,,,,,,
21,"Kansu, China",China,36.888 ,105.606 ,iscgem912687,1920,12,16,12:05:55,8.3,PAGER-CAT,Strike-slip,15,8.5,"Keefer, 1984", ,,,N,N,,234000,"Xu et al, 2020",36323,PAGER-CAT,32554,"Xu et al, 2020", ,,-,,,,,,,,,100-1000, ,,,,125,90,"Keefer, 1984",
22,"Kanto, Japan",Japan,35.413 ,139.298 ,iscgem911526,1923,9,1,2:58:35,8.1,PAGER-CAT,Thrust/Reverse,15,,,,,,Y,N,,143000,EMDAT,103733,GEM,688,GEM, ,,,,,,,,,,,,,,,,,,,
23,"Orotina, Costa Rica",Costa Rica,9.791,83.915,iscgem910853,1924,3,4,10:07:53,7.1,"Montero, 1999, Peraldo and Montero, 1999, Bommer and Rodriguez, 2002, PAGER-CAT",,15,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Arthur's Pass, New Zealand",New Zealand,-42.97,172.030 ,iscgem907935,1929,3,9,10:50:30,7,PAGER-CAT,Thrust/Reverse,20,,,,,,N,N,,0,TEARRA,,,0,, ,,600,"Honcox et al., 2002",,,,,,,,,,,0.059,"Keefer, 1994",,,"Honcox et al., 2002, Parker, 2013",
25,"Murchison, New Zealand",New Zealand,-41.98,172.4,iscgem908150,1929,6,16,10:47:30,7.3,PAGER-CAT,Thrust/Reverse,20,,,,,,N,N,,17,EMDAT,1,"Dowrick, 1994",14,"Hancox, 1997", ,,7000,"Honcox et al., 2002",7400,"Xu, 2014",,,,3.86923172, ,,200,"Xu, 2014",1.3,"Keefer, 1994",,,"Honcox et al., 2002, Parker, 2013",
26,"Hawke's Bay, New Zealand",New Zealand,-39.66,176.420 ,iscgem906607,1931,2,2,22:46:42,7.4,PAGER-CAT,Thrust/Reverse,35,,,,,,N,N,,256,TEARRA,630,"Dorwick, 1998",,,,,3900,"Honcox et al., 2002",,,,,,,,,,,,,,,"Honcox et al., 2002",
27,"Wairoa, New Zealand",New Zealand,-39.19,178.081 ,,1932,9,16,13:54:56,6.9,PAGER-CAT,Strike-slip,15,,,,,,N,N,,0,"Dowrick, 1998",,,0,"Dowrick, 1998",,,2000,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002",
28,"Pahiatua, New Zealand",New Zealand,-40.5,175.171 ,iscgem904826,1934,3,5,11:46:22,7.2,PAGER-CAT,Strike-slip,35,,,,,,N,N,,2,"Dowrick, 1998",1,"Dowrick, 1998",0,"Dowrick, 1998",,,6000,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002",
29,"Bihar, Nepal",India,26.86 ,86.59 ,iscgem904745,1934,1,15,8:43:25,8,PAGER-CAT,Thrust/Reverse,15,8.3,"Keefer, 1984", ,,,N,N,,10700,PAGER-CAT, ,,,,,,3900,"Keefer, 1984",,,,,,,,3102-40020, ,,,,215,215,"Keefer, 1984",
30,"Torricelli Mtns., Papua New Guinea",Papua New Guinea,-3.82,141.416 ,,1935,9,20,1:46:43,7.8,PAGER-CAT,Thrust/Reverse,30,,,,,,N,N,,0,PAGER-CAT,,,0,PAGER-CAT,,,,,,,,,,,,,,,0.215,"Keefer, 1994",,,,
31,"Imperial Valley, California, USA",United States of America,32.84,-115.38,iscgem901341,1940,5,19,4:36:40,6.9,PAGER-CAT,Strike-slip,6,7.1,"Keefer, 1984", ,,,N,N,,9,EMDAT,20,PAGER-CAT,,,,,1500,"Keefer, 1984",,,,,,,,400-4000,,,,,70,40,"Keefer, 1984",
32,"Golfito, Costa Rica",Costa Rica,8.396,-83.457,iscgem901107,1941,12,5,20:47:03,7.3,"Bommer and Rodriguez, 2002, Climent et al., 2009, PAGER-CAT",,28,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Masterton, New Zealand",New Zealand,-41.19,175.868 ,iscgem900349,1942,6,24,11:16:30,7,PAGER-CAT,Strike-slip,15,,,,,,N,N,,1,TEARRA,2,"Dowrick, 1998",,,,,2400,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002",
34,"Vancouver Island, Canada",Canada,49.621 ,-125.26,iscgem898434,1946,6,23,17:13:24,7.5,PAGER-CAT,Strike-slip,15,7.2-7.3,"Keefer, 1984", ,,,N,N,,1,PAGER-CAT,,,0,"Ellensburg Daily Record, 1946",,,21000,"Keefer, 1984",,,,,,,,131-1310,,,,,120,100,"Keefer, 1984",
35,"Lake Coleridge, New Zealand",New Zealand,-43.353 ,171.486 ,,1946,6,26,12:34:36,6.5,PAGER-CAT,Strike-slip,15,,,,,,N,N,,,,,,,,,,640,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002",
36,"Fukiu, Japan",Japan,36.164 ,136.222 ,iscgem897413,1948,6,28,7:13:31,6.8,PAGER-CAT,Strike-slip,10,,,7.3,,"Keefer, 1984",N,N,,5131,EMDAT,22203,PAGER-CAT,,,,,-,,,,,,,,,311-3110,,,,,,,"Keefer, 1984",
37,"Puget Sound, Washington, USA",United States of America,47.003 ,-122.53,iscgem896466,1949,4,13,19:55:44,6.7,PAGER-CAT,Normal,50,,, ,,,N,N,,8,EMDAT,,,,,,,12000,"Keefer, 1984",,,,,,,,105-240,,,,,180,,"Keefer, 1984",
38,"Khait, U.S.S.R.",Tajikistan,39.2 ,70.8 ,iscgem896645,1949,4,13,3:53,7.5,"Tanyas et al., 2017",Thrust/Reverse,18,7.6,"Keefer, 1984", ,,,N,N,,7200,"Evans et al., 2009",,,7200,"Evans et al., 2009; corrected error of 1200",,,-,,,,,,,,,101-1010, ,,,,,,"Keefer, 1984",
39,"Imaichi, Japan",Japan,36.71,139.807 ,iscgem897117,1949,12,26,23:24:54,6.3,PAGER-CAT,Strike Slip,10,,,6.4,,,Y,N,,,,,,,,,,-,,,,,,,,,,,,,,,,"Morimoto et al., 1951 ",
40,"Assam, India",India,28.363 ,96.445 ,official19500815140934_30,1950,8,15,14:09:34,8.6,PAGER-CAT,Strike-slip,15,,, ,,,N,N,,1500,EMDAT, ,,1450,"Daniell et al., 2017",,,50000,"Keefer, 1984",,,,,,,,>30100->40100, ,,4.7,"Keefer, 1994",305,,"Keefer, 1984",
41,"Samara, Costa Rica",Costa Rica,10.1,-85.3,,1950,10,5,16:09:42,7.8,"Bommer and Rodriguez, 2002, Climent et al., 2009",,55,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Patillos, Costa Rica",Costa Rica,10.05,-83.92,,1952,12,30,,6.2,"Montero and Alvarado, 1995, Bommer and Rodriguez, 2002, Climent et al., 2009",,10,,,,,,N,N,,,,,,21,"Montero and Alvarado, 1995, Bommer and Rodriguez, 2002, Climent et al., 2009",,,,,,,,,,,,,,,,,,,,
43,"Bajos del Toro, Costa Rica",Costa Rica,10.23,-84.32,,1955,9,1,,6.1,"Alvarado et al., 1988, Bommer and Rodriguez, 2002, Climent et al., 2009, Montero et al., 2010",,3,,,,,,N,N,,,,,,10,"Alvarado et al., 1988, Bommer and Rodriguez, 2002, Climent et al., 2009, Montero et al., 2010",,,,,,,,,,,,,,,,,,,,
44,"Daly City, California, USA",United States of America,37.56,-122.72,iscgem886234,1957,3,22,19:44:22,5.7,PAGER-CAT,Normal,15,,,5.3,ml,"Keefer, 1984",N,N,,1,"Stover and Coffman, 1993",40,"Stover and Coffman, 1993",,,,,10,"Keefer, 2002",23,"Keefer, 2002",,,,1.361727836, ,14-140, ,,0.0001,"Keefer, 1994",,,"Keefer, 2002",
45,"Alaska, USA",United States of America,58.230 ,-136.71,iscgem884702,1958,7,10,6:15:53,7.8,PAGER-CAT,Strike-slip,10,7.9,,,,"Keefer, 1984",N,N,,5,PAGER-CAT, ,,,,,,62000,"Keefer, 1984",,,,,,,,404-22220, ,,,,285,230,"Keefer, 1984",
46,"Hebgen Lake, Montana, USA",United States of America,44.630 ,-110.89,ushis2396,1959,8,18,6:37:13,7.2,PAGER-CAT,Normal,10,,,7.2,,"Keefer, 1984",N,N,,28,EMDAT,,,36,"SEIS Utah; Christophersen, 1962",,,4200,"Keefer, 1984",,,,,,,,105-10050, ,,,,100,90,"Keefer, 1984",
47,Chile,Chile,-38.14,-73.41,official19600522191120_30,1960,5,22,19:11:20,9.5,PAGER-CAT,Thrust/Reverse,25,8.3-8.5,"Keefer, 1984", ,,,Y,N,,6000,EMDAT,,,,,,,-,,,,,,,,,2323-32320, ,,,,,,"Keefer, 1984",
48,"Peria, New Zealand",New Zealand,-34.25,174.25 ,,1963,12,23,,4.8,"Honcox et al., 2002",Non-double-couple,12,,,,,,N,N,,0,,,,0,,,,250,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002",
49,"Niigata, Japan",Japan,38.399 ,139.290 ,iscgem866844,1964,6,16,4:01:43,7.6,PAGER-CAT,Thrust/Reverse,15,7.3,"Keefer, 1984", ,,,Y,N,,25,EMDAT,,,,,,,-,,,,,,,,,302-12110,,,,,,,"Keefer, 1984",
50,"Alaska, USA",United States of America,60.908 ,-147.34,official19640328033616_30,1964,3,28,3:36:12,9.2,PAGER-CAT,Thrust/Reverse,25,8.3-8.4,"Keefer, 1984", ,,,Y,N,,131,EMDAT,,,0,NOAA: NCEI,,,680,"Keefer, 1984", ,,,,,,,3362 - >52520, ,,,,680,400,"Keefer, 1984",
51,"Puget Sound, Washington, USA",United States of America,47.228 ,-122.41,iscgem858143,1965,4,29,15:28:45,6.7,PAGER-CAT,Normal,64.7,6.5,"Keefer, 1984", ,,,Y,N,,7,EMDAT,,,0,"Mullineux, 1967",,,4500,"Keefer, 1984",,,,,,,,12-120,,,,,98,,"Keefer, 1984",
52,"Parkfield-Cholame, California, USA",United States of America,35.791 ,-120.29,,1966,6,28,4:26:16,6.2,"Keefer, 1984",Strike-slip,6,,,5.5,ml,PAGER-CAT,Y,N,,,,,,,,,,350,"Keefer, 1984",,,,,,,,41-500,,,,,35,13,"Keefer, 1984",
53,Peru,Peru,-10.67,-78.23,iscgem842581,1966,10,17,21:42:00,8.1,PAGER-CAT,Thrust/Reverse,40,,,,,,Y,N,,120,EMDAT,1500,EMDAT,,,,,,,,,,,,,,,,,,,,,,
54,"Inangahua, New Zealand",New Zealand,-41.66,172.020 ,iscgem822588,1968,5,23,17:24:20,7.2,PAGER-CAT,Thrust/Reverse,20,7.1,"Keefer, 1984", ,,,Y,N,,3,EMDAT,14,PAGER-CAT,2,,,,2500,"Honcox et al., 2002", ,,,,,,,75-2820,,,0.052,"Keefer, 1994",,200,"Honcox et al., 2002",
55,"Madang, Papua New Guinea",Papua New Guinea,-5,145.396 ,iscgem791579,1970,10,31,17:53:14,6.9,PAGER-CAT,Strike-slip,60,7.1,"Keefer, 1984", ,,,Y,N,,15,EMDAT,20,PAGER-CAT,15,"Kim, 1992",,,10000,"Keefer, 1984",,,,,,,,1221-13101,,,0.028,"Keefer, 1994",155,130,"Keefer, 1984",
56,"Ancash (Chimbote), Peru",Peru,-9.183 ,-78.737 ,iscgem796163,1970,5,31,20:23:29,7.9,PAGER-CAT,Thrust/Reverse,45,7.8,PAGER-CAT,7.5,mb,"Keefer, 1984",Y,N,,66794,EMDAT,143500,PAGER-CAT,27500,PAGER-CAT,16000,PAGER-CAT,30000,"Plafker, 1971",1000,"Xu, 2014",,,,3, ,5013 - >51120, ,,0.141,"Keefer, 1994",210,170,"Keefer, 1984, Plafker et al., 1971  ",
57,"San Fernando, California, USA",United States of America,34.416 ,-118.37,ci3347678,1971,2,9,14:00:41,6.6,Cl,Strike-slip,9,,,,,,Y,Y,"Morton, 1971",65,EMDAT,2543,GEM,0,PAGER-CAT, ,,300,"Keefer, 1984",391,"Tanyas et al., 2017",1000,"Xu, 2014",,2.592176757, ,713-7130,,,,,20,68,"Keefer 1984, Morton, 1971 ",
58,"Tilaran, Costa Rica",Costa Rica,10.679,-84.759,usp00001d9,1973,4,14,8:34:00,6.5,"Peraldo and Montero, 1994, Bommer and Rodriguez, 2002, Climent et al., 2009, PAGER-CAT",,33,,,,,,N,N,,,,,,23,"Peraldo and Montero, 1994, Bommer and Rodriguez, 2002, Climent et al., 2009",,,,,,,,,,,,,,,,,,,,
59,"Honomu, Hawaii, USA",United States of America,19.93,-155.1,usp00001kh,1973,4,26,20:26:28,6.2,PAGER-CAT,Non-double-couple,50,6.1,PAGER-CAT, ,,,Y,N,,0,PAGER-CAT,11,PAGER-CAT,0,,,,890,"Keefer, 1984",,,,,,,,20-2000,,,,,85,,"Keefer, 1984",
60,"Indus Kohistan, Pakistan",Pakistan,35.054 ,72.870 ,iscgem734833,1974,12,28,12:11:43,6.2,PAGER-CAT,Thrust/Reverse,22,6.2,PAGER-CAT, ,,,Y,N,,5300,UTSU,17000,UTSU,,,,,790,"Keefer, 1984",,,,,,,,1020-10200,,,,,35,,"Keefer, 1984",
61,"Kilauea, Hawaii, USA",United States of America,19.334 ,-155.024 ,iscgem722344,1975,11,29,14:47:40,7.5,PAGER-CAT,Non-double-couple,5,7.1,PAGER-CAT, ,,,Y,N,,2,PAGER-CAT,28,PAGER-CAT,0,"Paras-Carynanas, 1975",,,6300,"Keefer, 1984",,,,,,,,110-2000,,,,,110,75,"Keefer, 1984",
62,"Darien, Panama",Panama,7.409 ,-78.13,usp0000h9g,1976,7,11,20:41:47,7.3,PAGER-CAT,Strike-slip,3,7,PAGER-CAT, ,,,Y,N,,0,PAGER-CAT,7,PAGER-CAT,0,PAGER-CAT,,,610,"Bommer, 2002", ,,,,,,,500-5000,,,0.13,"Keefer, 1994",,,"Keefer, 1984",
63,"Khulm, Afghanistan",Afghanistan,36.607 ,67.785 ,usp0000fh3,1976,3,19,13:03:38,5.6,PAGER-CAT,Thrust/Reverse,33,5.5,"Keefer, 1984",5.6,mb,PAGER-CAT,Y,N,,49,PAGER-CAT,59,PAGER-CAT,,,,,-,,,,,,,,,40-400,,,,,32,,"Keefer, 1984",
64,"Fruili, Italy",Italy,46.356 ,13.275 ,usp0000g5v,1976,5,6,20:00:01,6.5,PAGER-CAT,Thrust/Reverse,11.7,6.5,PAGER-CAT, ,,,Y,Y,"Govi, 1977, CEDIT Italian Database",922,EMDAT,2400,PAGER-CAT,,,,,2100,"Keefer, 2002",1007,"Govi, 1977",,,,3.003029471,,2120-21200,1.1,"Tanyas et al., 2017",,,65,42,"Govi, 1977",
65,"Guatemala, Guatemala",Guatemala,15.324 ,-89.1,usp0000ex3,1976,2,4,9:01:43,7.5,PAGER-CAT,Strike-slip,5,7.5,"Keefer, 1984", ,,,Y,Y,"Harp et al., 1981",22868,EMDAT,11000,PAGER-CAT,,,,,16000,GEM,50000,"Keefer, 2002",6224,"Harp et al., 1981",,4.698970004, ,>20114 - >31040,60.8,"Harp et al., 1981",0.116,"Keefer, 1994",225k,55k,"Harp et al., 1981 ",
66,"Tangshan, China",China,39.570 ,117.98,usp0000hjg,1976,7,27,19:42:54,7.5,PAGER-CAT,Strike-slip,23,7.7-8.0,"Keefer, 1984", ,,,Y,N,,242000,"EMDAT, PAGER-CAT",800000,PAGER-CAT,,,,,,,,,,,,,,201-20100, ,,,,180,160,"Keefer, 1984",
67,"Irian Jaya, Papua New Guinea",Papua New Guinea,-4.6,140.09,usp0000h1p,1976,6,25,19:18:56,7.1,PAGER-CAT,Strike-slip,33,,,,,,,N,,,,,,5520,"Daniell et al., 2017",,,,,,,,,,,,,,,,,,,,
68,Solomon Islands,,-9.965 ,160.731 ,usp0000nh4,1977,4,21,4:24:09,7.4,PAGER-CAT,Thrust/Reverse,33,7.5,PAGER-CAT,,,,Y,N,,34,EMDAT,1,PAGER-CAT,18,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
69,"San Juan Province, Argentina",Argentina,-31.028 ,-67.77,iscgem690743,1977,11,23,9:26:24,7.5,PAGER-CAT,Thrust/Reverse,13,7.4,PAGER-CAT, ,,,Y,N,,70,PAGER-CAT,300,PAGER-CAT,,,,,9500,"Keefer, 1984",,,,,,,,1302-50200,,,,,110,68,"Keefer, 1984",
70,"Khurgu, Iran",Iran,27.609 ,56.393 ,,1977,3,21,21:18:54,6.7,PAGER-CAT,Thrust/Reverse,29,6.9,PAGER-CAT, ,,,Y,N,,167,PAGER-CAT,556,PAGER-CAT,,,,,-,,,,,,,,,201-2010,,,,,,,"Keefer, 1984",
71,"Santa Barbara, California, USA",United States of America,34.31,-119.71,ci10012262,1978,8,13,22:54:52,5.8,PAGER-CAT,Thrust/Reverse,18,5.6,"Keefer, 1984",5.1,ml,Cl,Y,N,,0,PAGER-CAT,65,PAGER-CAT,0,,,,320,"Keefer, 1984",,,,,,,,23-320,,,,,50,40,"Keefer, 1984",
72,"Izu-Oshima Kinkai, Japan",Japan,34.81,139.259 ,usp0000sge,1978,1,14,3:24:39,6.7,PAGER-CAT,Strike-slip,14,6.6,PAGER-CAT,,,,Y,Y,"Suzuki, 1979",25,EMDAT,119,PAGER-CAT,1,"Sidle, 1985",,,290,"GSI of Japan, 1971",659,"Suzuki, 1979",,,,2.818885415,,320-4100,1.5,"Suzuki, 1979",,,33,17,"GSI of Japan, 1979 ",
73,"Miyagi-ken, Japan",Japan,38.19,142.028 ,usp0000v0f,1978,6,12,8:14:26,7.7,PAGER-CAT,Thrust/Reverse,44,7.7,PAGER-CAT, ,,,Y,N,,28,EMDAT,11028,PAGER-CAT,1,PAGER-CAT,0,PAGER-CAT,4000,"Keefer, 1984",,,,,,,,312-21120, ,,,,150,105,"Keefer, 1984",
